City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,Hasaki,35.7333,140.8333,18.02,81,98,6.18,JP,1731196097
335,Allapalli,19.4167,80.0667,18.53,77,0,0.75,IN,1731196099
336,Nizhnesortymskiy,62.4397,71.7603,-10.28,90,96,7.65,RU,1731196101
337,Khorinsk,52.1657,109.7726,-13.3,93,47,0.25,RU,1731196103
338,Sona,45.4388,10.8255,7.51,100,100,1.54,IT,1731196105
339,Guerrero negro,27.9769,-114.0611,20.76,36,0,4.41,MX,1731196107
340,Yamada,39.4667,141.95,11.88,62,7,1.25,JP,1731196109
341,Bamboo flat,11.7,92.7167,28.05,83,40,2.57,IN,1731196110
342,Pingliang,35.5392,106.6861,7.45,60,40,0.88,CN,1731196112
343,Kayenta,36.7278,-110.2546,9.01,35,0,0.48,US,1731196116
344,Lushun,38.8,121.2667,16.12,75,91,4.44,CN,1731196118
345,Ust'-barguzin,53.45,108.9833,-6.5,74,60,0.96,RU,1731196120
346,Acapulco de juarez,16.8634,-99.8901,25.4,78,85,2.66,MX,1731196122
347,Korsakov,46.6328,142.7813,1.91,82,68,4.91,RU,1731196123
348,Honggang,46.4667,124.8667,7.46,55,100,8.23,CN,1731196125
349,Champerico,14.3,-91.9167,27.33,80,83,2.41,GT,1731196127
350,Lubango,-14.9172,13.4925,16.92,94,94,1.54,AO,1731196129
351,Dudinka,69.4058,86.1778,-17.32,90,57,4.48,RU,1731196130
352,Abqaiq,25.9371,49.6776,22.16,45,2,3.19,SA,1731196132
